Country,Newspaper,Title,Sentiment,Date,Num_tokens,Positive_count,Negative_count,,,Country,Newspaper,Title,Sentiment,Date,Num_tokens,Positive_count,Negative_count
Benin,L'Evénément Précis,"Marc Vizy, Ambassadeur de France au Bénin: « Toutes les entreprises françaises paient leurs impôts au Bénin »",0.001458257,20/12/2023,2743,33,29,,,Benin,L'Evénément Précis,"Marc Vizy, Ambassadeur de France au Bénin: « Toutes les entreprises françaises paient leurs impôts au Bénin »",0.013124316,20/12/2023,2743,216,180
Benin,L'Evénément Précis,"Programmation d'un projet de loi sur le FCFA: Evitez d'« enfoncer davantage notre pays dans la dépendance coloniale française», demande le Prof. Philippe Noudjènoumè",-0.008818342,23/11/2023,1134,4,14,,,Benin,L'Evénément Précis,"Programmation d'un projet de loi sur le FCFA: Evitez d'« enfoncer davantage notre pays dans la dépendance coloniale française», demande le Prof. Philippe Noudjènoumè",-0.01675485,23/11/2023,1134,47,66
Benin,L'Evénément Précis,"Suite à la décision de leur départ du Niger: L'option Bénin écartée, les soldats français transitent par le Tchad",-0.005813953,10/10/2023,172,2,3,,,Benin,L'Evénément Précis,"Suite à la décision de leur départ du Niger: L'option Bénin écartée, les soldats français transitent par le Tchad",0.01744186,10/10/2023,172,11,8
Benin,L'Evénément Précis,Présence d'une base militaire française au Bénin: Wilfried Houngbedji dément à nouveau l'information,-0.010126582,02/10/2023,395,2,6,,,Benin,L'Evénément Précis,Présence d'une base militaire française au Bénin: Wilfried Houngbedji dément à nouveau l'information,-0.050632911,02/10/2023,395,24,44
Benin,L'Evénément Précis,Présence d'une base militaire française au Bénin: Wilfried Houngbédji dément une dernière fois,-0.010126582,01/10/2023,395,2,6,,,Benin,L'Evénément Précis,Présence d'une base militaire française au Bénin: Wilfried Houngbédji dément une dernière fois,-0.053164557,01/10/2023,395,23,44
Benin,L'Evénément Précis,Dément formel du gouvernement sur Kandi: « Aucune base militaire française n'est en construction dans notre pays »,-0.020661157,27/09/2023,242,2,7,,,Benin,L'Evénément Précis,Dément formel du gouvernement sur Kandi: « Aucune base militaire française n'est en construction dans notre pays »,-0.016528926,27/09/2023,242,13,17
Benin,L'Evénément Précis,50es championnats du monde de pétanque : La doublette mixte béninoise rafle l'or devant celle française,0.006666667,12/09/2023,450,6,3,,,Benin,L'Evénément Précis,50es championnats du monde de pétanque : La doublette mixte béninoise rafle l'or devant celle française,-0.011111111,12/09/2023,450,17,22
Benin,L'Evénément Précis,"Préparatifs de l'intervention militaire: « La France déploie déjà son armement dans les pays voisins », selon les putschistes",-0.017241379,10/09/2023,290,1,6,,,Benin,L'Evénément Précis,"Préparatifs de l'intervention militaire: « La France déploie déjà son armement dans les pays voisins », selon les putschistes",-0.04137931,10/09/2023,290,13,25
Benin,L'Evénément Précis,Départ exigé de ses soldats: La France s'engage dans un dialogue avec les autorités du Niger,-0.007168459,05/09/2023,279,5,7,,,Benin,L'Evénément Précis,Départ exigé de ses soldats: La France s'engage dans un dialogue avec les autorités du Niger,0,05/09/2023,279,14,14
Benin,L'Evénément Précis,"Evacuation urgente de 600 ressortissants Français: Un 1er avion a décollé du Niger, un 2è prévu ce soir",-0.012820513,01/08/2023,234,1,4,,,Benin,L'Evénément Précis,"Evacuation urgente de 600 ressortissants Français: Un 1er avion a décollé du Niger, un 2è prévu ce soir",-0.017094017,01/08/2023,234,8,12
Benin,L'Evénément Précis,6ème édition du Sommet Annuel Africain des Mines (MOTA): Des experts réfléchissent sur l'avenir du secteur minier à Paris,0.005736138,19/07/2023,523,5,2,,,Benin,L'Evénément Précis,6ème édition du Sommet Annuel Africain des Mines (MOTA): Des experts réfléchissent sur l'avenir du secteur minier à Paris,-0.019120459,19/07/2023,523,11,21
Benin,L'Evénément Précis,6ème édition du Sommet Annuel Africain des Mines (MOTA): Des experts réfléchissent sur l'avenir du secteur minier à Paris,0.005758157,18/07/2023,521,5,2,,,Benin,L'Evénément Précis,6ème édition du Sommet Annuel Africain des Mines (MOTA): Des experts réfléchissent sur l'avenir du secteur minier à Paris,-0.019193858,18/07/2023,521,11,21
Benin,L'Evénément Précis,Présence d'une base militaire française au Nord du Bénin: Marc Vizy dément et clarifie,-0.001811594,16/07/2023,552,3,4,,,Benin,L'Evénément Précis,Présence d'une base militaire française au Nord du Bénin: Marc Vizy dément et clarifie,0.025362319,16/07/2023,552,50,36
Benin,L'Evénément Précis,Tournée ''Osez le Bénin! Roadshow France 2023'': La SIPI et l'APIEX vantent la destination Bénin aux investisseurs français,0,29/06/2023,560,4,4,,,Benin,L'Evénément Précis,Tournée ''Osez le Bénin! Roadshow France 2023'': La SIPI et l'APIEX vantent la destination Bénin aux investisseurs français,0.0125,29/06/2023,560,31,24
Benin,L'Evénément Précis,Sommet pour un nouveau pacte financier mondial: Patrice Talon attendu demain à une conférence internationale à Paris,-0.013774105,20/06/2023,363,3,8,,,Benin,L'Evénément Précis,Sommet pour un nouveau pacte financier mondial: Patrice Talon attendu demain à une conférence internationale à Paris,-0.022038567,20/06/2023,363,10,18
Benin,L'Evénément Précis,Relations France/Afrique: Talon et 11 autres Chefs d'Etat au sommet de Paris le 22 juin,-0.03125,07/06/2023,96,1,4,,,Benin,L'Evénément Précis,Relations France/Afrique: Talon et 11 autres Chefs d'Etat au sommet de Paris le 22 juin,-0.052083333,07/06/2023,96,1,6
Benin,L'Evénément Précis,Fédération Béninoise de Volleyball: Ali Yaro décroche un partenariat avec un club Français pour la Fbvb,0.003322259,12/05/2023,301,1,0,,,Benin,L'Evénément Précis,Fédération Béninoise de Volleyball: Ali Yaro décroche un partenariat avec un club Français pour la Fbvb,-0.043189369,12/05/2023,301,7,20
Benin,L'Evénément Précis,Fédération Béninoise de Volleyball : Ali Yaro décroche un partenariat avec un club Français pour la Fbvb,0.004237288,09/05/2023,236,1,0,,,Benin,L'Evénément Précis,Fédération Béninoise de Volleyball : Ali Yaro décroche un partenariat avec un club Français pour la Fbvb,-0.042372881,09/05/2023,236,6,16
Benin,L'Evénément Précis,Coopération bilatérale entre le Bénin et la France: L'Ambassadeur Eusèbe Agbangla reçu au Sénat français,0.007407407,14/04/2023,135,2,1,,,Benin,L'Evénément Précis,Coopération bilatérale entre le Bénin et la France: L'Ambassadeur Eusèbe Agbangla reçu au Sénat français,-0.02962963,14/04/2023,135,4,8
Benin,L'Evénément Précis,Coopération bilatérale entre le Bénin et la France: L'Ambassadeur Eusèbe Agbangla reçu au Sénat français,0.007407407,13/04/2023,135,2,1,,,Benin,L'Evénément Précis,Coopération bilatérale entre le Bénin et la France: L'Ambassadeur Eusèbe Agbangla reçu au Sénat français,-0.02962963,13/04/2023,135,4,8
Benin,L'Evénément Précis,Renforcement de la coopération militaire Franco-Béninoise: Un patrouilleur de haute mer « PM L'Her » en escale à Cotonou,-0.021806854,19/03/2023,321,4,11,,,Benin,L'Evénément Précis,Renforcement de la coopération militaire Franco-Béninoise: Un patrouilleur de haute mer « PM L'Her » en escale à Cotonou,-0.024922118,19/03/2023,321,15,23
Benin,L'Evénément Précis,Diplomatie : Jean-Pierre Edon décortique la nouvelle politique africaine de la France,-0.015301086,17/03/2023,2026,12,43,,,Benin,L'Evénément Précis,Diplomatie : Jean-Pierre Edon décortique la nouvelle politique africaine de la France,-0.029615005,17/03/2023,2026,86,146
Benin,L'Evénément Précis,Visite à Paris: Voici pourquoi Talon était chez Macron,-0.015564202,09/03/2023,257,2,6,,,Benin,L'Evénément Précis,Visite à Paris: Voici pourquoi Talon était chez Macron,-0.027237354,09/03/2023,257,12,19
Benin,L'Evénément Précis,"Rapports France-Afrique, guerre en Ukraine ou présence du groupe Wagner en Afrique: Voici l'intégralité de ce que Talon a dit sur LCI",-0.010847458,06/03/2023,2950,35,67,,,Benin,L'Evénément Précis,"Rapports France-Afrique, guerre en Ukraine ou présence du groupe Wagner en Afrique: Voici l'intégralité de ce que Talon a dit sur LCI",-0.032881356,06/03/2023,2950,158,255
Benin,L'Evénément Précis,Lancement du mois de la Francophonie : Plusieurs activités prévues à l'Institut Français de Cotonou,0.006329114,05/03/2023,474,6,3,,,Benin,L'Evénément Précis,Lancement du mois de la Francophonie : Plusieurs activités prévues à l'Institut Français de Cotonou,0.002109705,05/03/2023,474,21,20
Benin,L'Evénément Précis,Partenariat entre la France et l'Afrique : Emmanuel Macron expose ses priorités et sa méthode,-0.013015184,27/02/2023,461,2,8,,,Benin,L'Evénément Précis,Partenariat entre la France et l'Afrique : Emmanuel Macron expose ses priorités et sa méthode,-0.052060738,27/02/2023,461,17,41
Benin,L'Evénément Précis,Tournée du président français en Afrique centrale: Emmanuel Macron focalisé sur les enjeux de sa politique africaine,-0.011560694,27/02/2023,173,0,2,,,Benin,L'Evénément Précis,Tournée du président français en Afrique centrale: Emmanuel Macron focalisé sur les enjeux de sa politique africaine,-0.034682081,27/02/2023,173,7,13
Benin,L'Evénément Précis,Jean-Pierre A. EDON sur le départ des militaires français au Burkina-Faso: « Le retrait des troupes s'est fait sur une base légale »,-0.040935673,17/02/2023,171,1,8,,,Benin,L'Evénément Précis,Jean-Pierre A. EDON sur le départ des militaires français au Burkina-Faso: « Le retrait des troupes s'est fait sur une base légale »,0,17/02/2023,171,12,12
Benin,L'Evénément Précis,Jean-Pierre A. EDON sur le départ des militaires français au Burkina-Faso: « Le retrait des troupes s'est fait sur une base légale »,-0.040935673,16/02/2023,171,1,8,,,Benin,L'Evénément Précis,Jean-Pierre A. EDON sur le départ des militaires français au Burkina-Faso: « Le retrait des troupes s'est fait sur une base légale »,0,16/02/2023,171,12,12
Benin,L'Evénément Précis,Coopération internationale au tour du handball : Les fédérations béninoise et française ensemble pour développer la discipline au Bénin,0.00754717,27/10/2022,530,8,4,,,Benin,L'Evénément Précis,Coopération internationale au tour du handball : Les fédérations béninoise et française ensemble pour développer la discipline au Bénin,0,27/10/2022,530,31,31
Benin,L'Evénément Précis,Jean-Pierre A. Edon au sujet du coup d'Etat au Burkina-Faso: « Il s'agit du rejet de la politique française en Afrique »,-0.006949807,16/10/2022,2590,36,54,,,Benin,L'Evénément Précis,Jean-Pierre A. Edon au sujet du coup d'Etat au Burkina-Faso: « Il s'agit du rejet de la politique française en Afrique »,-0.040540541,16/10/2022,2590,89,194
Benin,L'Evénément Précis,Législatives 2023: La France satisfaite de l'inclusion des personnes vulnérables,-0.003344482,02/10/2022,299,1,2,,,Benin,L'Evénément Précis,Législatives 2023: La France satisfaite de l'inclusion des personnes vulnérables,-0.016722408,02/10/2022,299,13,18
Benin,L'Evénément Précis,"Ambassadeur, Jean-Pierre A. EDON sur le discours de Talon: L'Analyse de la réforme du droit de grève présentée aux entrepreneurs français",-0.007751938,06/09/2022,2322,27,45,,,Benin,L'Evénément Précis,"Ambassadeur, Jean-Pierre A. EDON sur le discours de Talon: L'Analyse de la réforme du droit de grève présentée aux entrepreneurs français",-0.018518519,06/09/2022,2322,112,155
Benin,L'Evénément Précis,Appel aux investissements français: Lionel Zinsou confirme la stabilité économique du Bénin,0.003773585,02/09/2022,530,12,10,,,Benin,L'Evénément Précis,Appel aux investissements français: Lionel Zinsou confirme la stabilité économique du Bénin,-0.001886792,02/09/2022,530,30,31
Benin,L'Evénément Précis,Appel aux investissements français: Romuald Wadagni dévoile les trois grands secteurs prioritaires,0.003759398,02/09/2022,266,3,2,,,Benin,L'Evénément Précis,Appel aux investissements français: Romuald Wadagni dévoile les trois grands secteurs prioritaires,0.022556391,02/09/2022,266,16,10
Benin,L'Evénément Précis,Appel aux investissements français: Lionel Zinsou confirme la stabilité économique du Bénin,0.003752345,01/09/2022,533,12,10,,,Benin,L'Evénément Précis,Appel aux investissements français: Lionel Zinsou confirme la stabilité économique du Bénin,-0.001876173,01/09/2022,533,30,31
Benin,L'Evénément Précis,Appel aux investissements français: Romuald Wadagni dévoile les trois grands secteurs prioritaires,0.003759398,01/09/2022,266,3,2,,,Benin,L'Evénément Précis,Appel aux investissements français: Romuald Wadagni dévoile les trois grands secteurs prioritaires,0.022556391,01/09/2022,266,16,10
Benin,L'Evénément Précis,"Rencontre entre le porte-parole du gouvernement et les médias: Les précisions de Wilfried Houngbédji sur : Monuments, visite de Macron, 1er août, Aéronefs....",-0.002096436,07/08/2022,954,5,7,,,Benin,L'Evénément Précis,"Rencontre entre le porte-parole du gouvernement et les médias: Les précisions de Wilfried Houngbédji sur : Monuments, visite de Macron, 1er août, Aéronefs....",0.014675052,07/08/2022,954,71,57
Benin,L'Evénément Précis,Renforcement de la diplomatie Franco-béninoise: Talon et Macron envisagent une coopération beaucoup plus décomplexée,-0.001743679,29/07/2022,1147,14,16,,,Benin,L'Evénément Précis,Renforcement de la diplomatie Franco-béninoise: Talon et Macron envisagent une coopération beaucoup plus décomplexée,0.005231037,29/07/2022,1147,66,60
Benin,L'Evénément Précis,Échange entre les ministres Béninois et Français de la culture : De nouvelles opportunités pour les secteurs du tourisme et de la culture,0.008503401,29/07/2022,588,9,4,,,Benin,L'Evénément Précis,Échange entre les ministres Béninois et Français de la culture : De nouvelles opportunités pour les secteurs du tourisme et de la culture,-0.006802721,29/07/2022,588,26,30
Benin,L'Evénément Précis,"Visite du président français au Bénin: Face à Macron, Talon intransigeant sur les cas Madougou, Aïvo, Adjavon et autres",-0.022408964,27/07/2022,1785,16,56,,,Benin,L'Evénément Précis,"Visite du président français au Bénin: Face à Macron, Talon intransigeant sur les cas Madougou, Aïvo, Adjavon et autres",0.006162465,27/07/2022,1785,126,115
Benin,L'Evénément Précis,Visite de travail du président Macron au Bénin : Les propositions de l'Ambassadeur Candide Ahouanssou sur l'''Implomatie'',-0.001324503,26/07/2022,2265,22,25,,,Benin,L'Evénément Précis,Visite de travail du président Macron au Bénin : Les propositions de l'Ambassadeur Candide Ahouanssou sur l'''Implomatie'',-0.021633554,26/07/2022,2265,109,158
Benin,L'Evénément Précis,Tournée africaine du président Français: Voici les 5 actes que posera Macron à Cotonou,-0.013289037,24/07/2022,301,3,7,,,Benin,L'Evénément Précis,Tournée africaine du président Français: Voici les 5 actes que posera Macron à Cotonou,0.023255814,24/07/2022,301,17,10
Benin,L'Evénément Précis,Coopération entre les États Béninois et Français: Une convention signée pour booster le sport féminin au Bénin,0.003616637,31/05/2022,553,7,5,,,Benin,L'Evénément Précis,Coopération entre les États Béninois et Français: Une convention signée pour booster le sport féminin au Bénin,0.009041591,31/05/2022,553,32,27
Benin,L'Evénément Précis,"Organisations des élections : Le vote français, un modèle qui échappe encore à l'Afrique",-0.009661836,12/04/2022,621,9,15,,,Benin,L'Evénément Précis,"Organisations des élections : Le vote français, un modèle qui échappe encore à l'Afrique",-0.011272142,12/04/2022,621,39,46
Benin,L'Evénément Précis,Insécurité dans le septentrion: L'ANCB et la France impliquent les élus locaux face aux menaces terroristes,0.005524862,15/03/2022,181,3,2,,,Benin,L'Evénément Précis,Insécurité dans le septentrion: L'ANCB et la France impliquent les élus locaux face aux menaces terroristes,-0.038674033,15/03/2022,181,5,12
Benin,L'Evénément Précis,Après son départ du Mali: La France vise le Bénin,-0.013661202,17/02/2022,366,5,10,,,Benin,L'Evénément Précis,Après son départ du Mali: La France vise le Bénin,0.005464481,17/02/2022,366,22,20
Benin,L'Evénément Précis,40 terroristes neutralisés par l'armée française,0.002020202,14/02/2022,495,9,8,,,Benin,L'Evénément Précis,40 terroristes neutralisés par l'armée française,0.022222222,14/02/2022,495,29,18
Benin,L'Evénément Précis,Justice au Bénin: Jacques Migan condamne l'ingérence de certains acteurs politiques français,-0.029366306,16/01/2022,647,1,20,,,Benin,L'Evénément Précis,Justice au Bénin: Jacques Migan condamne l'ingérence de certains acteurs politiques français,0.023183926,16/01/2022,647,52,37
